title,duration,company
A Visual History of Nobel Prize Winners,1,DATACAMP
Analyze International Debt Statistics,0.75,DATACAMP
Generating Keywords for Google Ads,1,DATACAMP
A New Era of Data Analysis in Baseball,0.75,DATACAMP
Exploring the Kaggle Data Science Survey,0.75,DATACAMP
The Hottest Topics in Machine Learning,0.75,DATACAMP
Risk and Returns: The Sharpe Ratio,0.75,DATACAMP
The GitHub History of the Scala Language,0.75,DATACAMP
Exploring the Evolution of Linux,0.75,DATACAMP
A Network Analysis of Game of Thrones,0.75,DATACAMP
Predicting Credit Card Approvals,0.75,DATACAMP
Recreating John Snow's Ghost Map,1,DATACAMP
Dr. Semmelweis and the Discovery of Handwashing,1,DATACAMP
The Android App Market on Google Play,0.75,DATACAMP
Introduction to DataCamp Projects,0.5,DATACAMP
Exploring the Bitcoin Cryptocurrency Market,0.75,DATACAMP
Phyllotaxis: Draw Flowers Using Mathematics,0.75,DATACAMP
Analyzing TV Data,0.75,DATACAMP
Exploring the History of Lego,0.75,DATACAMP
Introduction to DataCamp Projects,0.5,DATACAMP
Dr. Semmelweis and the Discovery of Handwashing,1,DATACAMP
Analyze Data with Python,20,CODECADEMY
Learn Statistics with Python,30,CODECADEMY
Learn SQL,25,CODECADEMY
Learn the Command Line,20,CODECADEMY
Learn C++,50,CODECADEMY
Basic HTML and HTML5,30,FREECODECAMP
Basic CSS,30,FREECODECAMP
Applied Visual Web Design,20,FREECODECAMP
Applied Accessibility Web Design,15,FREECODECAMP
Responsive Web Design Principles,15,FREECODECAMP
CSS Flexbox,25,FREECODECAMP
CSS Grid,20,FREECODECAMP
Responsive Web Design Projects,20,FREECODECAMP
Basic JavaScript,20,FREECODECAMP
ES6,20,FREECODECAMP
Regular Expressions,20,FREECODECAMP
Debugging,15,FREECODECAMP
Basic Data Structures,20,FREECODECAMP
Basic Algorithm Scripting,15,FREECODECAMP
Object Oriented Programming,20,FREECODECAMP
Functional Programming,15,FREECODECAMP
Intermediate Algorithm Scripting,20,FREECODECAMP
JavaScript Algorithms and Data Structures Projects,20,FREECODECAMP
Data Visualization with D3,30,FREECODECAMP
JSON APIs and AJAX,25,FREECODECAMP
Data Visualization Projects,30,FREECODECAMP
Python for Everybody,40,FREECODECAMP
Scientific Computing with Python Projects,45,FREECODECAMP
Data Analysis with Python,40,FREECODECAMP
Numpy,55,FREECODECAMP
Data Analysis with Python Projects,40,FREECODECAMP
Tensorflow,30,FREECODECAMP
How Neural Networks Work,40,FREECODECAMP
Machine Learning with Python Projects,45,FREECODECAMP
Python,5,KAGGLE
Intro to Machine Learning,3,KAGGLE
Intermediate Machine Learning,4,KAGGLE
Pandas,5,KAGGLE
Data Visualization,4,KAGGLE
Feature Engineering,5,KAGGLE
Data Cleaning,4,KAGGLE
Intro to SQL,3,KAGGLE
Advanced SQL,5,KAGGLE
Intro to Deep Learning,4,KAGGLE
Computer Vision,4,KAGGLE
Geospatial Analysis,6,KAGGLE
Machine Learning Explainability,4,KAGGLE
Natural Language Processing,4,KAGGLE
Intro to Game AI and Reinforcement Learning,4,KAGGLE
Databases and SQL for Data Science with Python,16,COURSERA
Data Visualization with Python,15,COURSERA
Introduction to Data Analytics,20,COURSERA
Data Analysis with Python,12,COURSERA
IBM Data Analyst Capstone Project,10,COURSERA
Python for Data Science AI & Development,15,COURSERA
Excel Basics for Data Analysis,15,COURSERA
Data Visualization and Dashboards with Excel and Cognos,12,COURSERA
Python Project for Data Science,20,COURSERA
AWS Cloud Technical Essentials,16,COURSERA
AWS Fundamentals: Addressing Security Risk,20,COURSERA
AWS Fundamentals: Migrating to the Cloud,20,COURSERA
AWS Fundamentals: Building Serverless Applications,20,COURSERA
Google Data Analytics Capstone: Complete a Case Study,15,COURSERA
Analyze Data to Answer Questions,16,COURSERA
Foundations: Data Data Everywhere,16,COURSERA
Ask Questions to Make Data-Driven Decisions,16,COURSERA
Data Analysis with R Programming,12,COURSERA
Share Data Through the Art of Visualization,16,COURSERA
Process Data from Dirty to Clean,16,COURSERA
Prepare Data for Exploration,12,COURSERA
Introduction to Big Data with Spark and Hadoop,14,COURSERA
Databases and SQL for Data Science with Python,16,COURSERA
Data Engineering and Machine Learning using Spark,9,COURSERA
Introduction to Relational Databases (RDBMS),16,COURSERA
Introduction to NoSQL Databases,16,COURSERA
Introduction to Data Engineering,10,COURSERA
Hands-on Introduction to Linux Commands and Shell Scripting,6,COURSERA
Tools for Data Science,18,COURSERA
Machine Learning with Python,21,COURSERA
Data Science Methodology,10,COURSERA
Applied Data Science Capstone,10,COURSERA
What is Data Science?,8,COURSERA
Python Project for Data Engineering,5,COURSERA
ETL and Data Pipelines with Shell Airflow and Kafka,20,COURSERA
Google Cloud Big Data and Machine Learning Fundamentals,15,COURSERA
Modernizing Data Lakes and Data Warehouses with GCP,10,COURSERA
Building Batch Data Pipelines on GCP,18,COURSERA
Building Resilient Streaming Analytics Systems on GCP,15,COURSERA
Smart Analytics Machine Learning and AI on GCP,12,COURSERA
How Google does Machine Learning,10,COURSERA
Introduction to Tensor Flow,15,COURSERA
Feature Engineering,12,COURSERA
Art and Science of Machine Learning,13,COURSERA
Creating a Data Transformation Pipeline with Cloud Dataprep	Lab,1.5,QWIKLABS
Evaluating a Data Model	Lab,2,QWIKLABS
Exploratory Data Analysis Using AI Platform	Lab,3,QWIKLABS
Loading Data into BigQuery for Exploratory Data Analysis	Lab,1,QWIKLABS
Visualize Real Time Geospatial Data with Google Data Studio	Lab,2,QWIKLABS
Processing Data with Google Cloud Dataflow	Lab,2,QWIKLABS
Visualizing Data with Google Data Studio	Lab,3,QWIKLABS
Ingesting Data Into The Cloud Using Google Cloud Functions	Lab,2,QWIKLABS
Ingesting Data Into The Cloud	Lab,1.5,QWIKLABS
Connect to Cloud SQL from an Application in Kubernetes Engine	Lab,2,QWIKLABS
APIs Explorer: Cloud SQL	Lab,3,QWIKLABS
Using Ruby on Rails with Cloud SQL for PostgreSQL	Lab,2,QWIKLABS
Cloud SQL with Terraform	Lab,1.5,QWIKLABS
Loading Data into Google Cloud SQL	Lab,1,QWIKLABS
Cloud SQL for MySQL: Qwik Start	Lab,2,QWIKLABS
Exploring Dataset Metadata Between Projects with Data Catalog	Lab,3,QWIKLABS
Data Catalog: Qwik Start	Lab,1.5,QWIKLABS
Using BigQuery in the Google Cloud Console	Lab,2,QWIKLABS
Build and Optimize Data Warehouses with BigQuery Lab,1.5,QWIKLABS
Build and Execute MySQL; PostgreSQL; and SQLServer to Data Catalog Connectors	Lab,2,QWIKLABS
Working with JSON; Arrays; and Structs in BigQuery	Lab,3,QWIKLABS
Troubleshooting and Solving Data Join Pitfalls,1.5,QWIKLABS
Data Engineering	Quest,10,QWIKLABS
Data Science on Google Cloud	Quest,15,QWIKLABS
Cloud SQL	Quest,12,QWIKLABS
Data Catalog Fundamentals	Quest,5,QWIKLABS
BigQuery for Data Warehousing	Quest,10,QWIKLABS
Build and Optimize Data Warehouses with BigQuery	Quest,7,QWIKLABS
Create and Manage Cloud Resources	Quest,6,QWIKLABS
Baseline: Data; ML; AI	Quest,20,QWIKLABS
Insights from Data with BigQuery	Quest,12,QWIKLABS
Google Cloud Essentials	Quest,7,QWIKLABS
BigQuery Basics for Data Analysts	Quest,20,QWIKLABS
Baseline: Infrastructure	Quest,8,QWIKLABS
Perform Foundational Data; ML; and AI Tasks in Google Cloud,12,QWIKLABS
Publish Streaming Data into PubSub,2,QWIKLABS
Streaming Data Pipelines,2.5,QWIKLABS
Streaming Analytics and Dashboards,2,QWIKLABS
Streaming Data Pipelines into Bigtable,2,QWIKLABS
BigQuery Queries for Performance,2,QWIKLABS
Partitioned Tables in Google BigQuery,2,QWIKLABS
Exploring a BigQuery Public Dataset,1,QWIKLABS
Recommending Products Using Cloud SQL and Spark,2,QWIKLABS
Classification Model with BigQuery ML,2,QWIKLABS
Streaming Data Pipeline with Dataflow,1.5,QWIKLABS
Classifying Images of Clouds with AutoML Vision,2,QWIKLABS
Using BigQuery to do Analysis,1.5,QWIKLABS
Loading Taxi Data into Cloud SQL,1,QWIKLABS
Loading Data into BigQuery,1.5,QWIKLABS
Working with JSON and Array Data in BigQuery,1.5,QWIKLABS
Running Apache Spark jobs on Cloud Dataproc,2,QWIKLABS
Building a pipeline graph in Cloud Data Fusion,2,QWIKLABS
An Introduction to Cloud Composer,2,QWIKLABS
Building a Simple Dataflow Pipeline (Python),1.5,QWIKLABS
MapReduce in Cloud Dataflow (Python),2,QWIKLABS
Practicing Pipeline Side Inputs (Python),1.5,QWIKLABS
Natural Language API to classify unstructured text,1,QWIKLABS
BigQuery in Jupyter Labs on AI Platform,1.25,QWIKLABS
Running ML Pipelines on Kubeflow,2,QWIKLABS
Predict with Regression Model in BQML,2,QWIKLABS
Movie Recommendations in BigQuery ML,1.5,QWIKLABS
Invoking Machine Learning APIs,1.5,QWIKLABS
Improving Data Quality,1,QWIKLABS
Exploratory Data Analysis Using Python and BigQuery,2,QWIKLABS
Introduction to Linear Regression in Python,2,QWIKLABS
Introduction to Logistic Regression in Python,2,QWIKLABS
Decision Trees and Random Forests in Python,2,QWIKLABS
Maintaining Consistency in Training with Repeatable Splitting,1,QWIKLABS
Explore and create ML datasets,1,QWIKLABS
Intro Introduction to Tensors and Variables,2,QWIKLABS
Write Low Level Code with Tensor Flow,2,QWIKLABS
Load CSV Numpy and Text data in TensorFlow,2,QWIKLABS
Loading Images Using tf.data.Dataset,2,QWIKLABS
Introduction to Feature Columns,2,QWIKLABS
Introducing the Keras Sequential API,2,QWIKLABS
Introducing the Keras Functional API,2,QWIKLABS
Performing Basic Feature Engineering in BQML,1.5,QWIKLABS
A simple Dataflow pipeline in Python,2,QWIKLABS
MapReduce in Dataflow Python,2,QWIKLABS
Time-Windowed Features in Cloud Dataprep,2,QWIKLABS
Improve Machine Learning model with Feature Engineering,2,QWIKLABS
Explore Tf.transform on TesorFlow,2,QWIKLABS
Reviewing Learning Curve on Keras,2,QWIKLABS
Exporting data from BigQuery to Cloud Storage,2,QWIKLABS
Performing the Hyperparameter Tuning,2,QWIKLABS
The Nuts and Bolts of Machine Learning, 27,COURSERA
Google Advanced Data Analytics Capstone, 30,COURSERA
Introduction to Generative AI, 2,COURSERA
Database Engineer Capstone, 27,COURSERA
Go Beyond the Numbers: Translate Data into Insights, 25,COURSERA
Infrastructure and Application Modernization with Google Cloud, 3,COURSERA
The Power of Statistics, 24,COURSERA
Introduction to Large Language Models, 2,COURSERA
Introduction to Generative AI Studio, 5,COURSERA
Database Design and Basic SQL in PostgreSQL, 27,COURSERA
Intermediate PostgreSQL, 27,COURSERA
JSON and Natural Language Processing in PostgreSQL, 27,COURSERA
